gender,age,region,subjectID,experimentName,item,verbtype,complementizer,prosody,naturalness,veridicality,comment
F,30s,MA,8.50E+14,veridicality-pilot2,come,ggameok,2-Jul,p4,5,6,
F,30s,MA,8.50E+14,veridicality-pilot2,come,ggameok,go,p4,2,5,
F,30s,MA,8.50E+14,veridicality-pilot2,ramen,unn,ctr,c8,3,6,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,moreu,go,p2,3,1,
F,30s,MA,8.50E+14,veridicality-pilot2,marry,alanae,go,p3,4,5,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,gieok,2-Jul,p3,4,1,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,ggameok,go,p3,2,5,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,al,2-Jul,p1,6,1,
F,30s,MA,8.50E+14,veridicality-pilot2,come,moreu,go,p3,3,6,
F,30s,MA,8.50E+14,veridicality-pilot2,come,alanae,go,p1,5,6,
F,30s,MA,8.50E+14,veridicality-pilot2,marry,al,go,p4,6,2,
F,30s,MA,8.50E+14,veridicality-pilot2,come,al,go,p3,6,1,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,gieok,go,p3,6,4,
F,30s,MA,8.50E+14,veridicality-pilot2,bike,unn,ctr,c10,3,2,
F,30s,MA,8.50E+14,veridicality-pilot2,marry,moreu,go,p4,3,7,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,mit,2-Jul,p4,5,3,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,mit,go,p4,6,4,
F,30s,MA,8.50E+14,veridicality-pilot2,like,unn,ctr,c7,2,5,
F,30s,MA,8.50E+14,veridicality-pilot2,come,gieok,go,p4,6,4,
F,30s,MA,8.50E+14,veridicality-pilot2,come,mit,2-Jul,p2,5,3,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,alanae,go,p4,5,5,
F,30s,MA,8.50E+14,veridicality-pilot2,come,moreu,2-Jul,p3,6,7,
F,30s,MA,8.50E+14,veridicality-pilot2,come,gieok,2-Jul,p4,3,2,
F,30s,MA,8.50E+14,veridicality-pilot2,come,al,2-Jul,p3,5,3,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,al,go,p2,6,1,
F,30s,MA,8.50E+14,veridicality-pilot2,marry,moreu,2-Jul,p4,7,7,
F,30s,MA,8.50E+14,veridicality-pilot2,marry,gieok,go,p2,6,4,
F,30s,MA,8.50E+14,veridicality-pilot2,marry,al,2-Jul,p4,6,4,
F,30s,MA,8.50E+14,veridicality-pilot2,come,mit,geo2,p1,6,4,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,moreu,2-Jul,p1,6,7,
F,30s,MA,8.50E+14,veridicality-pilot2,unnie,nat,ctr,c2,7,7,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,ggameok,2-Jul,p3,5,7,
F,30s,MA,8.50E+14,veridicality-pilot2,marry,ggameok,go,p2,3,4,
F,30s,MA,8.50E+14,veridicality-pilot2,come,alanae,2-Jul,p2,4,5,
F,30s,MA,8.50E+14,veridicality-pilot2,puppy,nat,ctr,c5,7,1,
F,30s,MA,8.50E+14,veridicality-pilot2,marry,alanae,2-Jul,p3,4,5,
F,30s,MA,8.50E+14,veridicality-pilot2,come,mit,go,p1,7,1,
F,30s,MA,8.50E+14,veridicality-pilot2,bop,nat,ctr,c1,7,7,
F,30s,MA,8.50E+14,veridicality-pilot2,come,al,geo2,p3,6,7,
F,30s,MA,8.50E+14,veridicality-pilot2,marry,ggameok,2-Jul,p1,5,7,
F,30s,MA,8.50E+14,veridicality-pilot2,presch,nat,ctr,c6,7,1,
F,30s,MA,8.50E+14,veridicality-pilot2,marry,mit,2-Jul,p3,5,4,
F,30s,MA,8.50E+14,veridicality-pilot2,painter,alanae,2-Jul,p4,5,6,
F,30s,MA,8.50E+14,veridicality-pilot2,marry,gieok,2-Jul,p1,5,2,
