"","gender","age","region","subjectID","experimentName","item","verbtype","complementizer","prosody","naturalness","veridicality","comment"
"1","F","30s","MA",8.5e+14,"veridicality-pilot2","come","ggameok","jul2","MV",5,6,""
"2","F","30s","MA",8.5e+14,"veridicality-pilot2","come","ggameok","go","MV",2,5,""
"3","F","30s","MA",8.5e+14,"veridicality-pilot2","painter","moreu","go","EV",3,1,""
"4","F","30s","MA",8.5e+14,"veridicality-pilot2","painter","al","jul2","ES",6,1,""
"5","F","30s","MA",8.5e+14,"veridicality-pilot2","come","alanae","go","ES",5,6,""
"6","F","30s","MA",8.5e+14,"veridicality-pilot2","marry","al","go","MV",6,2,""
"7","F","30s","MA",8.5e+14,"veridicality-pilot2","marry","moreu","go","MV",3,7,""
"8","F","30s","MA",8.5e+14,"veridicality-pilot2","painter","mit","jul2","MV",5,3,""
"9","F","30s","MA",8.5e+14,"veridicality-pilot2","painter","mit","go","MV",6,4,""
"10","F","30s","MA",8.5e+14,"veridicality-pilot2","come","gieok","go","MV",6,4,""
"11","F","30s","MA",8.5e+14,"veridicality-pilot2","come","mit","jul2","EV",5,3,""
"12","F","30s","MA",8.5e+14,"veridicality-pilot2","painter","alanae","go","MV",5,5,""
"13","F","30s","MA",8.5e+14,"veridicality-pilot2","come","gieok","jul2","MV",3,2,""
"14","F","30s","MA",8.5e+14,"veridicality-pilot2","painter","al","go","EV",6,1,""
"15","F","30s","MA",8.5e+14,"veridicality-pilot2","marry","moreu","jul2","MV",7,7,""
"16","F","30s","MA",8.5e+14,"veridicality-pilot2","marry","gieok","go","EV",6,4,""
"17","F","30s","MA",8.5e+14,"veridicality-pilot2","marry","al","jul2","MV",6,4,""
"18","F","30s","MA",8.5e+14,"veridicality-pilot2","painter","moreu","jul2","ES",6,7,""
"19","F","30s","MA",8.5e+14,"veridicality-pilot2","marry","ggameok","go","EV",3,4,""
"20","F","30s","MA",8.5e+14,"veridicality-pilot2","come","alanae","jul2","EV",4,5,""
"21","F","30s","MA",8.5e+14,"veridicality-pilot2","come","mit","go","ES",7,1,""
"22","F","30s","MA",8.5e+14,"veridicality-pilot2","marry","ggameok","jul2","ES",5,7,""
"23","F","30s","MA",8.5e+14,"veridicality-pilot2","painter","alanae","jul2","MV",5,6,""
"24","F","30s","MA",8.5e+14,"veridicality-pilot2","marry","gieok","jul2","ES",5,2,""
"25","M","20s","nonUS",4.68e+14,"veridicality-pilot2","marry","alanae","go","ES",2,6,""
"26","M","20s","nonUS",4.68e+14,"veridicality-pilot2","marry","mit","go","ES",6,2,""
"27","M","20s","nonUS",4.68e+14,"veridicality-pilot2","painter","al","jul1","MV",5,7,""
"28","M","20s","nonUS",4.68e+14,"veridicality-pilot2","painter","gieok","jul1","ES",5,7,""
"29","M","20s","nonUS",4.68e+14,"veridicality-pilot2","painter","moreu","jul1","MV",7,7,""
"30","M","20s","nonUS",4.68e+14,"veridicality-pilot2","come","moreu","jul1","ES",7,7,""
"31","M","20s","nonUS",4.68e+14,"veridicality-pilot2","come","moreu","go","EV",2,7,""
"32","M","20s","nonUS",4.68e+14,"veridicality-pilot2","come","alanae","jul1","MV",3,7,""
"33","M","20s","nonUS",4.68e+14,"veridicality-pilot2","painter","ggameok","jul1","ES",2,7,""
"34","M","20s","nonUS",4.68e+14,"veridicality-pilot2","painter","moreu","go","MV",3,6,""
"35","M","20s","nonUS",4.68e+14,"veridicality-pilot2","painter","ggameok","go","EV",1,7,""
"36","M","20s","nonUS",4.68e+14,"veridicality-pilot2","marry","gieok","jul1","MV",6,4,""
"37","M","20s","nonUS",4.68e+14,"veridicality-pilot2","come","mit","jul1","MV",5,1,""
"38","M","20s","nonUS",4.68e+14,"veridicality-pilot2","painter","al","go","MV",6,2,""
"39","M","20s","nonUS",4.68e+14,"veridicality-pilot2","painter","gieok","go","EV",7,3,""
"40","M","20s","nonUS",4.68e+14,"veridicality-pilot2","come","alanae","go","MV",7,7,""
"41","M","20s","nonUS",4.68e+14,"veridicality-pilot2","come","mit","go","MV",7,1,""
"42","M","20s","nonUS",4.68e+14,"veridicality-pilot2","come","al","go","EV",7,1,""
"43","M","20s","nonUS",4.68e+14,"veridicality-pilot2","marry","alanae","jul1","EV",1,4,""
"44","M","20s","nonUS",4.68e+14,"veridicality-pilot2","marry","gieok","go","MV",6,4,""
"45","M","20s","nonUS",4.68e+14,"veridicality-pilot2","come","al","jul1","ES",7,1,""
"46","M","20s","nonUS",4.68e+14,"veridicality-pilot2","marry","ggameok","go","MV",2,7,""
"47","F","30s","nonUS",2.62e+13,"veridicality-pilot2","marry","gieok","jul1","MV",3,1,""
"48","F","30s","nonUS",2.62e+13,"veridicality-pilot2","painter","ggameok","go","EV",1,1,""
"49","F","30s","nonUS",2.62e+13,"veridicality-pilot2","come","alanae","jul1","MV",3,6,""
"50","F","30s","nonUS",2.62e+13,"veridicality-pilot2","painter","moreu","go","MV",1,4,""
"51","F","30s","nonUS",2.62e+13,"veridicality-pilot2","marry","mit","go","ES",3,2,""
